Title,Author,Publish Date,Publisher,Description,url,TitleScore
Not Everyone Hates Volatility,Ben Eisen,2018-03-02T14:00:01Z,The Wall Street Journal,"The market gyrations of recent weeks are lifting trading volumes, typically a boon to banks.",https://blogs.wsj.com/moneybeat/2018/03/02/not-everyone-hates-volatility/,
Big Markets in Asia Fall Due to Worries About Trade,Ese Erheriene,2018-03-02T05:09:48Z,The Wall Street Journal,"Asian stocks fell sharply, weighed on by increasing worries over escalating trade protectionism after President Donald Trump announced steel and aluminum tariffs.",https://www.wsj.com/articles/asian-shares-sharply-lower-after-wall-street-losses-1519951228,
Boom in Share Buybacks Renews Question of Who Wins From Tax Cuts,Akane Otani,2018-03-01T12:52:28Z,The Wall Street Journal,"U.S. companies are buying back their shares at an aggressive pace, stirring debates in Washington and on Wall Street about how savings from corporate tax cuts are being used and who benefits most.",https://www.wsj.com/articles/boom-in-share-buybacks-renews-question-of-who-wins-from-tax-cuts-1519900200,
"WSJ City: U.S. Launches Crypto Probe, Italy’s Crunch Election, CEOs Under Pressure in Gun Debate",Philip Georgiadis,2018-03-01T08:10:46Z,The Wall Street Journal,"Good morning from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY A key US regul…",https://blogs.wsj.com/moneybeat/2018/03/01/wsj-city-2/,
The Wall Street Journal: China’s top economic adviser meets with Wall Street execs,"Jacob M. Schlesinger , Sarah Krouse",2018-03-01T02:52:59Z,The Wall Street Journal,"Chinese President Xi Jinping’s top economic adviser huddled Wednesday afternoon with a group of prominent American business executives at the start of his visit to Washington, according to people familiar with the matter.",https://www.wsj.com/articles/top-chinese-economic-adviser-meets-with-dimon-other-u-s-executives-1519864750,
"Top Chinese Economic Adviser Meets With Dimon, Other U.S. Executives",Jacob M. Schlesinger,2018-03-01T01:15:43Z,The Wall Street Journal,"President Xi Jinping’s top economic aide huddled with executives from Wall Street and big U.S. manufacturers at the start of his visit to Washington, according to people familiar with the matter.",https://www.wsj.com/articles/top-chinese-economic-adviser-meets-with-dimon-other-u-s-executives-1519864750,
Civil War in the Democratic Party,Ted Rall,2018-03-01T00:00:40Z,The Wall Street Journal,Bernie Sanders was a portent of the populist left’s rise. Now even Dianne Feinstein looks vulnerable.,https://www.wsj.com/articles/civil-war-in-the-democratic-party-1519862437,
Spotify Kicks Off Its Unusual IPO,Maureen Farrell,2018-02-28T19:47:54Z,The Wall Street Journal,Music-streaming company Spotify cemented plans for its unusual initial public offering while revealing the financial particulars of a fast-growing company that upended the music industry and revolutionized how consumers listen—but spent heavily to do so.,https://www.wsj.com/articles/spotify-kicks-off-its-unusual-ipo-1519847272,
Goldman Sachs expands push into consumer banking,"Liz Hoffman , Peter Rudegeair",2018-02-28T16:23:30Z,The Wall Street Journal,The bank that once represented the elite of Wall Street is aggressively moving into consumer products.,https://www.wsj.com/articles/goldman-sachs-adviser-to-the-elite-wants-to-be-your-main-street-banker-1519745369,
"WSJ City PM: May Faces Fresh Dispute Over Irish Border, Investor FOMO Supports Stocks",Mischa Frankl-Duval,2018-02-28T16:22:41Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY A dispute ov…",https://blogs.wsj.com/moneybeat/2018/02/28/wsj-city-eu-brexit-proposal-revives-irish-border-fight-investor-fomo-supports-stocks-newsletter-draft/,
Democrat Conor Lamb Gains Momentum in Pennsylvania Race,Joshua Jamerson,2018-02-28T12:13:16Z,The Wall Street Journal,"There are growing signs that Conor Lamb, the Democrat running for a U.S. House seat in a traditionally Republican district in Pennsylvania, is building momentum ahead of the March 13 special election.",https://blogs.wsj.com/washwire/2018/02/28/capital-journal-wed-11/,
"WSJ Wealth Adviser Briefing: Goldman Sachs’s Advisory Foray, Inflation and Rates, Dividends",Brian Hershberg,2018-02-28T10:30:48Z,The Wall Street Journal,"WSJ Wealth Adviser highlights some of the top news and analysis for wealth advisers and their clients, with pieces today including: Goldman Sachs's foray into banking and financial services for the masses; a look at rate expectations and market reaction after…",https://blogs.wsj.com/moneybeat/2018/02/28/wsj-wealth-adviser-briefing-goldman-sachss-advisory-foray-inflation-and-rates-dividends/,
"Goldman, Adviser to The Elite, Wants to Be the Local Bank",,2018-02-28T00:52:43Z,The Wall Street Journal,"Goldman, Adviser to The Elite, Wants to Be the Local Bank SALT LAKE CITY—Goldman Sachs Group Inc. has come to Main Street. Goldman, Adviser to The Elite, Wants to Be the Local Bank SALT LAKE CITY—Goldman Sachs Group Inc. has come to Main Street.",http://online.wsj.com/article/SB20854157356710624851304584059322932027480.html?mod=rss_Page_One,
"Dina Powell, a Former Trump Adviser, Returns to Goldman Sachs",Liz Hoffman,2018-02-27T22:34:39Z,The Wall Street Journal,"Dina Powell, who until recently served as a deputy national security adviser in the Trump White House, is returning to Goldman Sachs Group Inc.",https://www.wsj.com/articles/dina-powell-a-former-trump-adviser-returns-to-goldman-sachs-1519770878,
​Is Barack Obama to Blame for Slow Growth? Evaluating Donald Trump’s Case,Greg Ip,2018-02-27T11:00:48Z,The Wall Street Journal,"President Donald Trump’s economists may be right about the direction of President Barack Obama's policies but wrong about the magnitude, Greg Ip writes.",https://blogs.wsj.com/economics/2018/02/27/%e2%80%8bis-barack-obama-to-blame-for-slow-growth-evaluating-donald-trumps-case/,
Global Stocks Are Set to Break a Streak Intact Since the Trump Election,Steven Russolillo,2018-02-27T09:04:02Z,The Wall Street Journal,"The MSCI All Country World Index, a barometer of stocks around the world, is set for its first monthly decline since before the 2016 U.S. presidential election.",https://blogs.wsj.com/moneybeat/2018/02/27/global-stocks-are-set-to-break-a-streak-intact-since-the-trump-election/,
Trump Set to Promote Trade Hawk Peter Navarro,Jacob M. Schlesinger,2018-02-25T21:19:27Z,The Wall Street Journal,"The White House plans to promote an adviser known for his hawkish views on trade policy, giving economic nationalists a stronger voice in internal debates as the Trump administration nears decisions on high-profile trade issues.",https://www.wsj.com/articles/trump-set-to-promote-trade-hawk-peter-navarro-1519574207,
Investors Buying Stocks With Debt Leaves Markets Vulnerable...,Michael Wursthorn,2018-02-25T13:52:38Z,The Wall Street Journal,"Investors borrowing record sums to bet on stocks exacerbated this month’s selloff, after they were hit with calls to reduce those obligations and forced to sell shares to raise cash.",https://www.wsj.com/articles/investors-zeal-to-buy-stocks-with-debt-leaves-markets-vulnerable-1519560001,
Flu Epidemic Appears to Have Peaked - Wall Street Journal,Betsy McKay,2018-02-23T21:12:00Z,The Wall Street Journal,Wall Street Journal Flu Epidemic Appears to Have Peaked Wall Street Journal Nurse Nicole Simpson gives Charles Jones a flu shot at the Salvation Army in Atlanta this month. Photo: David Goldman/Associated Press. By. Betsy McKay. Betsy McKay. The Wall Street J…,https://www.wsj.com/articles/flu-epidemic-appears-to-have-peaked-1519420360,
Stock Buybacks Are Having a Last Hurrah,Chelsey Dulaney,2018-02-23T13:45:00Z,The Wall Street Journal,"Share buybacks are expected to bounce back this year as companies deploy savings from the recent cut in the U.S. corporate tax rate. But don't expect the buyback boom to last, analysts caution.",https://blogs.wsj.com/moneybeat/2018/02/23/stock-buybacks-are-having-a-last-hurrah/,
The Math Behind Flu Season - Wall Street Journal,Jo Craven McGinty,2018-02-23T13:00:26Z,The Wall Street Journal,"Wall Street Journal The Math Behind Flu Season Wall Street Journal A worker tested a patient's swab for a flu infection earlier this month at Upson Regional Medical Center in Thomaston, Ga. Photo: David Goldman/Associated Press. By. Jo Craven McGinty. Jo Crav…",https://www.wsj.com/articles/the-math-behind-flu-season-1519390800,
Bargain Hunting for Hotel Snobs---How to Save Big on Room Rates,Christian L. Wright,2018-02-22T18:41:38Z,The Wall Street Journal,"These 5 hotel booking sites offer various perks, including the occasional rock-bottom deal on exclusive properties.",https://www.wsj.com/articles/bargain-hunting-for-hotel-snobshow-to-save-big-on-room-rates-1519324895,
"WSJ City PM: Why Barclays Remains Patient on Payout, UK Ministers Convene for Brexit Consensus, ECB Weighs QE Communication",Mischa Frankl-Duval,2018-02-22T16:57:08Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Barclays has…",https://blogs.wsj.com/moneybeat/2018/02/22/wsj-city-pm-barclays-payout-masks-penny-pinching-ecb-hints-at-tapering-ministers-knuckle-down-for-brexit-summit/,
"Stocks to Watch: Ford, Roku, Goldman Sachs, Newell Brands, Chesapeake, Pandora, Hormel, Wendy’s, Avis",Amrith Ramkumar,2018-02-22T14:23:55Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Thursday's session are Ford, Roku, Goldman Sachs, Newell Brands and Chesapeake Energy.",https://blogs.wsj.com/moneybeat/2018/02/22/stocks-to-watch-ford-roku-goldman-sachs-newell-brands-chesapeake-pandora-hormel-wendys-avis/,
"Amazon Is Taking Over the Stock Market, Too",Akane Otani,2018-02-21T21:49:17Z,The Wall Street Journal,"Three technology titans have powered nearly half of the S&P 500’s advance this year, a worrying sign for investors who expected tech’s dominance to give way to cyclical sectors, like materials or industrials, as the economy improved.",https://www.wsj.com/articles/amazon-is-taking-over-the-stock-market-too-1519234705,
Glencore Rewards Those Who Wait,Nathaniel Taplin,2018-02-21T12:08:49Z,The Wall Street Journal,"Glencore is riding high, lifted by a wave of economic optimism and high expectations for an electric-powered future. But high leverage remains a vulnerability.",https://www.wsj.com/articles/glencore-rewards-those-who-wait-1519214747,
Spending Bill Raises Expectations for More Fed Rate Increases,Nick Timiraos,2018-02-20T19:44:05Z,The Wall Street Journal,A bipartisan spending deal reached by U.S. lawmakers earlier this month has prompted many Wall Street economists to raise their projections of how much the Federal Reserve will raise interest rates this year and next.,https://www.wsj.com/articles/spending-bill-raises-expectations-for-more-fed-rate-increases-1519155491,
"WSJ City: HSBC Misses Expectations, Facebook Feels the Heat",Philip Georgiadis,2018-02-20T08:14:30Z,The Wall Street Journal,"Good morning from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY HSBC shares fe…",http://blogs.wsj.com/moneybeat/2018/02/20/wsj-city-hsbc-misses-expectations-facebook-feels-the-heat/,
Facebook Battles New Criticism After Indictment Against Russians,Georgia Wells,2018-02-19T21:09:12Z,The Wall Street Journal,Facebook is contending with a new wave of criticism prompted by the indictment detailing how Russia manipulated social-media platforms—and by a Facebook executive’s attempts to address the issue.,https://www.wsj.com/articles/facebook-battles-new-criticism-after-u-s-indictment-against-russians-1519066080,
Private Trades in Spotify Shares to Play Role in Debut,Maureen Farrell,2018-02-19T16:46:57Z,The Wall Street Journal,Spotify AB is counting on its surging private-market value to bolster the music-streaming service’s appeal to investors in an unorthodox public debut that could be the biggest since Snap Inc.’s $20 billion IPO last year.,https://www.wsj.com/articles/private-trades-in-spotify-shares-to-play-key-role-in-upcoming-debut-1519041600,
"For Tech Giants, Halting Russian Meddling Won't Be Easy",Robert McMillan,2018-02-18T13:00:07Z,The Wall Street Journal,The U.S. indictment handed down against three Russian companies and 13 individuals suggests it won’t be easy to stop any aggressive influence campaign in the run-up to the midterm election in less than nine months.,https://www.wsj.com/articles/for-tech-giants-halting-russian-meddling-in-u-s-politics-wont-be-easy-1518958801,
Big bank CEOs bring home the most since the crisis,"Aaron Lucchetti, Christina Rexrode , Liz Hoffman",2018-02-16T21:09:14Z,The Wall Street Journal,The chief executives of 5 Wall Street banks earned a combined $126 Million in 2017,https://www.wsj.com/articles/wall-streets-top-ceos-take-home-126-million-for-2017-1518807014,
Goldman CEO Blankfein Gets 9% Raise,Liz Hoffman,2018-02-16T18:15:08Z,The Wall Street Journal,"Goldman Sachs CEO Lloyd Blankfein got a 9% raise in 2017, making $24 million in a year when the bank grew revenue and pretax earnings but struggled in its core trading business.",https://www.wsj.com/articles/goldman-ceo-blankfein-gets-9-raise-1518785508,
"WSJ City PM: Bullish Mood Returns, Wall Street Bosses Get a Pay Rise, Pimco Extends Winning Streak",Mischa Frankl-Duval,2018-02-16T16:55:41Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Crisis, what…",http://blogs.wsj.com/moneybeat/2018/02/16/wsj-city-pm-markets-shake-off-hiccups-blankfeins-bonus-pimco-extends-winning-streak/,
Kraft Heinz Hints at Appetite for Deals,Annie Gasparro,2018-02-16T00:51:35Z,The Wall Street Journal,"Kraft Heinz Co. hinted at plans to do more deals. In a presentation to investors, Chief Executive Bernardo Hees said big food makers like Kraft Heinz face pressure to consolidate to confront changing consumer demands for fresher food and more snacks.",https://www.wsj.com/articles/kraft-heinz-hints-at-appetite-for-deals-1518742293,
Skyscrapers Face the Apocalypse,Katherine Clarke,2018-02-15T12:50:54Z,The Wall Street Journal,"Miami’s Construction Research Laboratory subjects a growing crop of building facades to mock hurricanes, monsoons and arctic blasts.",https://www.wsj.com/articles/skyscrapers-face-the-apocalypse-1518699051,
It Might Finally Be Value Stocks’ Time to Shine,Steven Russolillo,2018-02-15T05:34:21Z,The Wall Street Journal,"A little volatility might be what value stocks need to get their mojo back. Such stocks–which tend to have slow but steady earnings growth and cheap valuations–vastly underperformed their pricier growth counterparts globally last year, compounding a gap that …",https://blogs.wsj.com/moneybeat/2018/02/15/it-might-finally-be-value-stocks-time-to-shine/,
The New Wizards of Wall Street,Paul J. Davies,2018-02-14T22:36:42Z,The Wall Street Journal,"Big private-equity firms can now behave like old-fashioned investment banks, using their own balance sheets to move quickly, make big bets and earn fees from partners. But as they become more powerful on Wall Street, there are greater risks of conflicts and s…",https://www.wsj.com/articles/the-new-wizards-of-wall-street-1518611063,
"WSJ City PM: Fed’s Inflation Fears, Sky’s Football Deal Pressures Fox, Goldman Boosts M&A Leadership",Mischa Frankl-Duval,2018-02-14T16:50:40Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY US inflation…",https://blogs.wsj.com/moneybeat/2018/02/14/wsj-city-pm-fed-fears-inflation-goldman-sachs-eyes-upside-sky-share-bump-complicates-merger/,
Should America Sell Its Existing Roads to Pay for New Ones?,Cezary Podkul,2018-02-14T13:56:43Z,The Wall Street Journal,"Infrastructure fund managers, bankers and lobbyists have been pitching the Trump administration on the concept of infrastructure asset recycling before President Donald Trump unveiled his long-anticipated $1.5 trillion plan on Monday.",https://www.wsj.com/articles/should-america-sell-its-existing-roads-to-pay-for-new-ones-1518613200,
"Despite Volatility, Economists Aren’t Fretting Over a Recession",Chelsey Dulaney,2018-02-14T13:27:21Z,The Wall Street Journal,Worries over a looming U.S. recession have bubbled up after this month’s wild stock-market swings and surge in U.S. bond yields.​​ Economists aren't worried yet.,https://blogs.wsj.com/moneybeat/2018/02/14/despite-volatility-economists-arent-fretting-over-a-recession/,
"Goldman CEO on the Return of Volatility: ‘Not Whether, But When’",Liz Hoffman,2018-02-13T20:36:02Z,The Wall Street Journal,A resurgence in market volatility should ​rev up trading​ activity for Goldman Sachs as investors place bets to profit on price swings​.,https://blogs.wsj.com/moneybeat/2018/02/13/goldman-ceo-on-the-return-of-volatility-not-whether-but-when/,
Is This a Market Made for Goldman Sachs?,Aaron Back,2018-02-13T17:11:53Z,The Wall Street Journal,"During the lean, low-volatility years, Lloyd Blankfein cut Goldman Sachs’s big trading business by less than Wall Street rivals. Now he sees evidence the bet will start to pay off. Investors should pay attention.",https://www.wsj.com/articles/is-this-a-market-made-for-goldman-sachs-1518541563,
This Bullish Streak Is on Thin Ice,Steven Russolillo,2018-02-08T09:29:24Z,The Wall Street Journal,"A broad measure of Asian equities, the MSCI Asia Pacific ex Japan index, has gone two years without suffering a 10% drop from a recent high—its longest on record, according to an analysis by Goldman Sachs. But with the index down 8% from its high late last mo…",https://blogs.wsj.com/moneybeat/2018/02/08/this-bullish-streak-is-on-thin-ice/,
No-Wynn Situation Looks a No-Win for Investors,Jacky Wong,2018-02-08T09:24:59Z,The Wall Street Journal,"For the moment, investors seem to be hoping things will soon go back to normal at Wynn Resorts following Steve Wynn’s departure as chief executive. A surge in its U.S.-listed shares on Wednesday recouped around half of the stock’s losses since The Wall Street…",https://www.wsj.com/articles/no-wynn-situation-looks-a-no-win-for-investors-1518081450,
"After Talks With Opposition Collapse, Venezuela Sets Presidential Vote",Kejal Vyas,2018-02-08T02:20:30Z,The Wall Street Journal,"The government said the country will hold presidential elections on April 22, defying a growing roster of countries in the region that have panned the vote as a sham to bolster President Nicolás Maduro’s autocratic rule.",https://www.wsj.com/articles/after-talks-with-opposition-collapse-venezuela-sets-presidential-vote-1518055131,
"WSJ City PM: How the Big Bet on Calm Turned Ugly, Why Little Has Fundamentally Changed, Merkel Reaches Coalition Deal",Mischa Frankl-Duval,2018-02-07T17:24:24Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Large invest…",https://blogs.wsj.com/moneybeat/2018/02/07/wsj-city-pm-how-the-big-bet-on-calm-turned-ugly-why-little-has-fundamentally-changed-merkel-reaches-coalition-deal/,
"Stocks to Watch: Wynn Resorts, Snap, Facebook, Apple, Disney, Chipotle, Hasbro, Gilead, Humana",Amrith Ramkumar,2018-02-07T14:22:58Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Wednesday's session are Wynn Resorts, Snap, Walt Disney, Chipotle Mexican Grill and Hasbro.",https://blogs.wsj.com/moneybeat/2018/02/07/stocks-to-watch-wynn-resorts-snap-facebook-apple-disney-chipotle-hasbro-gilead-humana/,
Goldman Sachs in Talks With Apple to Finance iPhoneSales,Peter Rudegeair,2018-02-07T11:10:06Z,The Wall Street Journal,"The Wall Street firm is in talks to offer financing to shoppers buying phones, watches and other gadgets from Apple, people familiar with the matter said. Customers purchasing a $1,000 iPhone X could take out a loan from Goldman instead of charging it to cred…",https://www.wsj.com/articles/goldman-sachs-in-talks-with-apple-to-finance-iphonesales-1517999521,
Why Breaking Into the Boardroom Is Harder for Women,Joann S. Lublin,2018-02-07T10:30:13Z,The Wall Street Journal,"Women looking to land their first board seats have a much tougher time than men, recruiters and corporate directors say. Some businesses are now trying to solve this problem.",https://www.wsj.com/articles/why-breaking-into-the-boardroom-is-harder-for-women-1517999401,
Banks Cheer...,Max Colchester,2018-02-06T18:52:37Z,The Wall Street Journal,"Banks have blamed placid markets for lackluster returns in their big trading operations. This week they’re cheering the big market swings, seeing hope for a boost in fees that dropped off a cliff last year.",https://www.wsj.com/articles/banks-cheer-return-of-wild-markets-1517930991,
Volatility in Stocks Seeps Into Junk Bond Market As New Offering is Postponed,Matt Wirz and Sam Goldfarb,2018-02-06T18:42:32Z,The Wall Street Journal,"Rolled aluminum manufacturer JW Aluminum Holding Corp. postponed a planned sale of $300 million bonds on Tuesday, a sign that turbulence in stock markets is starting to hamper new bond sales in riskier parts of the high-yield market.",https://blogs.wsj.com/moneybeat/2018/02/06/volatility-in-stocks-seeps-into-junk-bond-market-as-new-offering-is-postponed/,
"For Banks, This Volatility Is Too Much",Aaron Back,2018-02-06T17:53:51Z,The Wall Street Journal,Banking stocks have been hit along with everything else the past couple days. Are investors making a mistake?,https://www.wsj.com/articles/for-banks-this-volatility-is-too-much-1517938690,
Why Banks Will Cut Stock Market Fuel Supply,Paul J. Davies,2018-02-06T15:36:32Z,The Wall Street Journal,"When stock markets plunge suddenly, margin calls are never far behind. This time, banks already have reason to be nervous about lending against shares.",https://www.wsj.com/articles/why-banks-will-cut-stock-market-fuel-supply-1517929686,
How Shifting Fed Expectations Are Rippling Through the Markets,Ben Eisen,2018-02-05T18:12:03Z,The Wall Street Journal,"Stock and bond markets have convulsed in recent days, partly reflecting investor concern that the Federal Reserve will tighten monetary policy faster than investors anticipated.",https://blogs.wsj.com/moneybeat/2018/02/05/how-shifting-fed-expectations-are-rippling-through-the-markets/,
"Challenges on Inflation Policy, Tax Cut Loom as Powell Era Begins at Fed",Nick Timiraos,2018-02-04T23:49:46Z,The Wall Street Journal,"The market’s recent selloff crystallizes four challenges facing Jerome Powell, the Federal Reserve’s new chairman, who takes charge Monday.",https://www.wsj.com/articles/challenges-on-inflation-policy-tax-cut-loom-as-powell-era-begins-at-fed-1517763839,
JPMorgan to Banking Clients: Joint Health-Care Venture Is No Threat,Anna Wilde Mathews,2018-02-04T12:00:08Z,The Wall Street Journal,JPMorgan Chase & Co.’s employee health-care initiative with Amazon and Berkshire Hathaway raised worries among some of the bank’s clients of a potential competitive threat.,https://www.wsj.com/articles/jpmorgan-to-banking-clients-joint-health-care-venture-is-no-threat-1517745601,
Deja Vu: Oil Investors Could Relive 2014’s Swings,Alison Sider,2018-02-02T15:47:09Z,The Wall Street Journal,"Oil investors aren’t letting U.S. shale ruin their party this year. They’re kidding themselves, says Ed Morse, global head of commodities research at Citigroup.",https://blogs.wsj.com/moneybeat/2018/02/02/deja-vu-oil-investors-could-relive-2014s-swings/,
"Aramco, Google in Talks over Saudi Tech Hub—Energy Journal",Christopher Alessi,2018-02-02T11:44:45Z,The Wall Street Journal,"A daily digest of The Wall Street Journal’s coverage of energy companies, commodity markets and the forces that shape them. Send us tips, suggestions and complaints: EnergyJournal@wsj.com Sign up for this newsletter: http://on.wsj.com/EnergyJournalSignup SAUD…",https://blogs.wsj.com/moneybeat/2018/02/02/energy-journal-aramco-google-in-talks-over-saudi-tech-hub/,
Mnuchin Met With Many CEOs While Developing Tax Plan,Kate Davidson,2018-02-01T21:00:41Z,The Wall Street Journal,Steven Mnuchin spent the first months of his tenure as Treasury secretary meeting with a wide array of business executives as he began pushing the Trump administration’s plans to overhaul the tax code.,https://www.wsj.com/articles/steven-mnuchin-met-with-many-ceos-while-developing-tax-plan-1517518247,
GOP Challenger to Sen. Gillibrand Declares Candidacy,Mike Vilensky,2018-02-01T20:41:44Z,The Wall Street Journal,"A Republican Party fundraiser and private-equity executive, Chele Chiavacci Farley, on Thursday declared she is running against Sen. Kirsten Gillibrand, the first high-profile GOP challenger to the popular New York Democrat.",https://www.wsj.com/articles/gop-challenger-to-new-york-sen-kirsten-gillibrand-declares-candidacy-1517517702,
How J.D. Power Was Acquired by a Chinese Company Shrouded in Mystery,Simon Clark,2018-01-31T20:52:44Z,The Wall Street Journal,"Hong Kong’s XIO Group, which acquired the U.S. auto-rating firm in 2016, is now embroiled in a dispute about the source of XIO’s funding. The legal fight represents one downside of China’s overseas investing splurge.",https://www.wsj.com/articles/how-j-d-power-was-acquired-by-a-chinese-company-shrouded-in-mystery-1517426465,
Big Oil Returns to Drilling---but on a Budget,Sarah Kent,2018-01-31T19:02:57Z,The Wall Street Journal,"Big oil companies are resuming ambitious offshore projects, but this time they are keeping spending in check, as investors urge them to avoid a repeat of their overspending in the last oil rally.",https://www.wsj.com/articles/big-oil-returns-to-drillingbut-on-a-budget-1517400000,
Forget Apple: The Stock Market’s Rise Is All About Boeing,Ben Eisen,2018-01-31T18:30:11Z,The Wall Street Journal,Boeing Co. quietly has more pull on the stock market than pretty much any other company.,https://blogs.wsj.com/moneybeat/2018/01/31/forget-apple-the-stock-markets-rise-is-all-about-boeing/,
Last Year's Market Nightmare Is 2018's Italian Yawn,Mike Bird,2018-01-31T11:57:54Z,The Wall Street Journal,"Italian assets have rallied and outperformed European peers, thanks in part to the country’s expanding economy and shrinking unemployment, soothing investor concern that the coming Italian election has the potential to split apart the eurozone.",https://www.wsj.com/articles/last-years-nightmare-this-years-boom-markets-ignore-italy-risk-1517397703,
"WSJ Wealth Adviser Briefing: Stock Slump, Homeownership, Money Funds, Eagles",Brian Hershberg,2018-01-31T10:30:19Z,The Wall Street Journal,"WSJ Wealth Adviser highlights some of the top news and analysis for wealth advisers and their clients, with pieces today including: a look at the U.S. stock market's two-day slide; the snag hit by a legislative effort to relax postcrisis money-fund rules; and…",https://blogs.wsj.com/moneybeat/2018/01/31/wsj-wealth-adviser-briefing-stock-slump-homeownership-money-funds-eagles/,
New York Pension Fund Doubles Bet on Low-Carbon Companies,Sarah Krouse,2018-01-30T15:42:33Z,The Wall Street Journal,"One of the largest state pension funds in the country has doubled its investment in a low carbon-emissions index, the latest high-profile endorsement of sustainable investing strategies.",https://www.wsj.com/articles/new-york-pension-fund-doubles-bet-on-low-carbon-companies-1517320801,
Dow Drops More Than 200 Points,Mike Bird,2018-01-30T14:45:22Z,The Wall Street Journal,The Dow Jones Industrial Average dropped more than 200 points as markets turned cautious after an impressive start to the year.,https://www.wsj.com/articles/asia-pacific-stocks-follow-u-s-markets-lower-1517276150,
Decade of Easy Cash Turns Bond Market Upside Down...,Matt Wirz,2018-01-30T11:37:37Z,The Wall Street Journal,"The hunt for yield by investors has led to some crazy credit stories, such as how one bond fund helped revive the American Dream mall and why Portuguese bonds yield less than U.S. Treasurys.",https://www.wsj.com/articles/decade-of-easy-cash-turns-bond-market-upside-down-1517308201,
Why It Isn't Yet Time to Worry About Emerging-Market Bonds,Anjani Trivedi,2018-01-30T10:45:30Z,The Wall Street Journal,"Despite yields on benchmark 10-year U.S. Treasurys ticking higher, edging above 2.70% this week, the reaction in emerging-market bonds has been muted.",https://www.wsj.com/articles/why-it-isnt-yet-time-to-worry-about-emerging-market-bonds-1517290686,
Lawyers Faced With Emojis and Emoticons Are All ¯\_(ツ)_/¯,Mike Cherney,2018-01-29T16:40:52Z,The Wall Street Journal,"Chipmunks, kissy lips and champagne bottles are becoming bones of contention in legal disputes; a court considers the ‘:P’",https://www.wsj.com/articles/lawyers-faced-with-emojis-and-emoticons-are-all-1517243950,
"Global Stocks Roar Into 2018, Making Some Investors Even More Nervous",Steven Russolillo,2018-01-29T05:05:44Z,The Wall Street Journal,"Stocks around the world have staged one of the best-ever starts to a year, a synchronized rally that has only gained momentum following 2017’s sharp gains.",https://www.wsj.com/articles/global-stocks-roar-into-2018-making-some-investors-even-more-nervous-1517183420,
"Global Stocks Roar Into 2018, Making Some Investors Even More Nervous",Steven Russolillo,2018-01-29T05:05:44Z,The Wall Street Journal,"Stocks around the world have staged one of the best-ever starts to a year, a synchronized rally that has only gained momentum following 2017’s sharp gains.",https://www.wsj.com/articles/global-stocks-roar-into-2018-making-some-investors-even-more-nervous-1517183420,
"Outcome Health Says CEO Rishi Shah Has Resigned, Lawsuit Settled",Rolfe Winkler,2018-01-27T21:51:55Z,The Wall Street Journal,"Outcome Health is replacing founder Rishi Shah as CEO and agreed to settle a lawsuit brought by investors, which had alleged the company defrauded them after they invested nearly $500 million.",https://www.wsj.com/articles/outcome-health-says-ceo-rishi-shah-has-resigned-lawsuit-settled-1517026798,
Thank You for Tax Reform,The Editorial Board,2018-01-26T23:27:25Z,The Wall Street Journal,Fourth quarter GDP shows the economy needed a growth boost.,https://www.wsj.com/articles/thank-you-for-tax-reform-1517009242,
Can Anything Stop the Good Times?,Jenny Strasburg,2018-01-26T16:34:36Z,The Wall Street Journal,"Bankers and executives at the World Economic Forum are celebrating a growing economy, but underlying worries persist. Among them: The market’s ascent has been eerily, steadily calm.",https://www.wsj.com/articles/bankers-at-davos-can-anything-stop-the-good-times-1516968969,
