Title,Author,Publish Date,Publisher,Description,url,TitleScore
Saudi Tough Talk Isn’t Enough to Bolster Oil—Energy Journal,Neanda Salvaterra,2018-02-15T12:36:21Z,The Wall Street Journal,Oil Prices Vacillated as Positive Signals Failed to Overcome a Bearish  Sentiment,https://blogs.wsj.com/moneybeat/2018/02/15/energy-journal-saudi-tough-talk-isnt-enough-to-bolster-oil/,-0.674649,
Saudi Tough Talk Isn’t Enough to Bolster Oil—Energy Journal,Neanda Salvaterra,2018-02-15T12:36:21Z,The Wall Street Journal,Oil Prices Vacillated as Positive Signals Failed to Overcome a Bearish  Sentiment,http://blogs.wsj.com/moneybeat/2018/02/15/energy-journal-saudi-tough-talk-isnt-enough-to-bolster-oil/,-0.674649,
Crude Falls on Oversupply Concerns—Energy Journal,Neanda Salvaterra,2018-02-14T12:16:37Z,The Wall Street Journal,Investors Are Bracing for Bearish Official U.S. Oil Stock Data,https://blogs.wsj.com/moneybeat/2018/02/14/energy-journal-crude-falls-on-oversupply-concerns/,-0.806912,
Oil Prices Recover in Tandem With Global Stocks—Energy Journal,Neanda Salvaterra,2018-02-12T12:31:46Z,The Wall Street Journal,Oil Futures Caught a Break Today as the Turmoil in Stock Markets Subsided,https://blogs.wsj.com/moneybeat/2018/02/12/energy-journal-oil-prices-recover-in-tandem-with-global-stocks/,-0.91033,
China Set to Launch Crude Oil Futures Contract—Energy Journal,Christopher Alessi,2018-02-09T11:43:29Z,The Wall Street Journal,"China, the world’s biggest importer of crude oil, is set to launch its own crude futures contract at the end of March on the Shanghai International Energy Exchange",https://blogs.wsj.com/moneybeat/2018/02/09/energy-journal-china-set-to-launch-crude-oil-futures-contract/,0.0,
"WSJ City PM: BOE Hints at Faster Rises, Why Bonds Won’t Bounce, Seeking a Culprit for the Market Selloff",Mischa Frankl-Duval,2018-02-08T17:25:26Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY The Bank of …",https://blogs.wsj.com/moneybeat/2018/02/08/wsj-city-pm-boe-hints-at-faster-rises-why-bonds-wont-bounce-seeking-a-culprit-for-the-market-selloff/,0.298083,
France’s Total Rewards Investors After Oil Downturn—Energy Journal,Neanda Salvaterra,2018-02-08T12:34:01Z,The Wall Street Journal,Big Oil Rewards Investors Again,https://blogs.wsj.com/moneybeat/2018/02/08/energy-journal-frances-total-rewards-investors-after-oil-downturn/,0.0,
Big Oil Is Rewarding Investors Again,Sarah Kent,2018-02-08T10:09:02Z,The Wall Street Journal,"Big dividends and share buybacks are making a comeback in the oil industry amid a fragile market recovery, with French oil giant Total the latest company to signal growing confidence in the industry.",https://www.wsj.com/articles/big-oil-is-rewarding-investors-again-1518084538,0.891297,
BP Posts First Quarterly Loss in More Than a Year,Sarah Kent,2018-02-06T09:17:25Z,The Wall Street Journal,"BP reported its first quarterly loss since mid-2016, weighed down by one-off charges relating to the company’s 2010 blowout in the Gulf of Mexico and the U.S. tax overhaul.",https://www.wsj.com/articles/bp-posts-first-quarterly-loss-in-more-than-a-year-1517908541,-0.843833,
"WSJ City: Volatility Roars Back Into Markets, What to Make of the Stock Market Rout",Darren Lazarus,2018-02-06T08:41:38Z,The Wall Street Journal,"Good morning from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Volatility roa…",https://blogs.wsj.com/moneybeat/2018/02/06/wsj-city-volatility-roars-back-into-markets-what-to-make-of-the-stock-market-drop/,0.088138,
BP Faces Down Its Doubters,Sarah Kent,2018-02-04T14:24:25Z,The Wall Street Journal,BP’s fourth-quarter results will be closely examined to see how the company’s “getting back to growth” strategy is progressing nearly eight years after the Deepwater Horizon disaster.,https://www.wsj.com/articles/bp-faces-down-its-doubters-1517752802,-0.521556,
Big Oil Returns to Drilling---but on a Budget,Sarah Kent,2018-01-31T19:02:57Z,The Wall Street Journal,"Big oil companies are resuming ambitious offshore projects, but this time they are keeping spending in check, as investors urge them to avoid a repeat of their overspending in the last oil rally.",https://www.wsj.com/articles/big-oil-returns-to-drillingbut-on-a-budget-1517400000,-0.878648,
My 10-Year Odyssey Through America's Housing Crisis,Ryan Dezember,2018-01-26T22:38:56Z,The Wall Street Journal,Misery over real estate hasn’t ended—2.5 million homes are still worth less than their mortgages. Here’s the story of one Wall Street Journal reporter’s upside-down American dream.,https://www.wsj.com/articles/my-10-year-odyssey-through-americas-housing-crisis-1516981725,-0.0453734,
"WSJ City PM: Trump Issues Trade Warning, UK Growth Slows, Negotiating the Brexit Transition",Mischa Frankl-Duval,2018-01-26T17:15:02Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY President Tr…",https://blogs.wsj.com/moneybeat/2018/01/26/wsj-city-pm-trump-issues-trade-warning-uk-growth-slows-negotiating-the-brexit-transition/,0.957236,
"Saudi Aramco, the Crude-Oil Giant, Becomes a Force in Refining",Christopher Alessi,2018-01-26T12:00:06Z,The Wall Street Journal,"Saudi Arabia’s state oil company is building an oil-refining empire, a major shift for the world’s No. 1 crude producer as it tries to shore up its balance sheet ahead of the world’s biggest-ever IPO and make up for income lost to OPEC production cuts.",https://www.wsj.com/articles/saudi-aramco-the-crude-oil-giant-becomes-a-force-in-refining-1516968001,-0.749035,
Oil Gets a Boost as World Economies Grow in Rare Harmony—Energy Journal,Neanda Salvaterra,2018-01-23T12:28:14Z,The Wall Street Journal,Oil Prices Perked Up on IMF’s Growth Forecast,https://blogs.wsj.com/moneybeat/2018/01/23/energy-journal-oil-gets-a-boost-as-world-economies-grow-in-rare-harmony/,0.581222,
U.S. Crude Output to Eclipse Saudi Arabia—Energy Journal,Neanda Salvaterra,2018-01-19T12:16:08Z,The Wall Street Journal,U.S. Producers Have Opened the Spigots Because of the Oil Rally,https://blogs.wsj.com/moneybeat/2018/01/19/energy-journal-u-s-crude-output-to-eclipse-saudi-arabia/,0.0,
Former Venezuelan Oil Hub Decays in Hunger and Rust,Anatoly Kurmanaev,2018-01-19T11:01:57Z,The Wall Street Journal,"Oil from Lake Maracaibo transformed Venezuela into the world’s biggest oil exporter, but output has plummeted, oil equipment is idle and rusting and once-flush workers are going hungry and must deal with failing equipment and piracy.",https://www.wsj.com/articles/former-hub-of-venezuelas-oil-wealth-turns-to-hunger-and-rust-1516357801,-0.844933,
"WSJ City PM: Trump Rips Up the Rulebook, Morgan Stanley’s X-Factor, How ICE Plans to Price Bitcoin",Mischa Frankl-Duval,2018-01-18T17:16:22Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY In the year …",https://blogs.wsj.com/moneybeat/2018/01/18/wsj-city-trump-rips-up-the-rulebook-morgan-stanleys-x-factor-ice-aims-to-bring-discipline-to-bitcoin/,0.957236,
BP Returns to a Northern Iraq Now Free of Islamic State,Benoit Faucon,2018-01-18T13:14:51Z,The Wall Street Journal,"BP will return to northern Iraq for the first time since Islamic State swept through the region three years ago, potentially heralding a new era of stability in one of the world’s most dangerous energy-production provinces.",https://www.wsj.com/articles/bp-returns-to-a-northern-iraq-now-free-of-islamic-state-1516281288,0.0,
Oil Holds Firm Amid Increased Output From OPEC—Energy Journal,Neanda Salvaterra,2018-01-18T12:35:36Z,The Wall Street Journal,Crude Prices Steady As OPEC Production Ticks Up,https://blogs.wsj.com/moneybeat/2018/01/18/energy-journal-oil-holds-firm-amid-increased-output-from-opec/,-0.397912,
Venezuela's Oil Industry Falls to Earth,Anatoly Kurmanaev,2018-01-18T10:30:14Z,The Wall Street Journal,"The nation’s output, vital to the struggling economy, is collapsing, increasing the chances of a debt default that could trigger a humanitarian disaster.",https://www.wsj.com/articles/venezuelas-oil-industry-takes-a-fall-1516271401,-0.812319,
Top Oil-and-Gas Lobbyist Exits,Brody Mullins,2018-01-17T15:19:46Z,The Wall Street Journal,"Jack Gerard, the president and CEO of the American Petroleum Institute, is stepping down after 10 years on the job.",https://www.wsj.com/articles/top-oil-and-gas-lobbyist-steps-down-1516202215,0.0,
Oil Loses Steam Ahead of Production Reports—Energy Journal,Christopher Alessi,2018-01-17T11:14:43Z,The Wall Street Journal,Crude futures edged down slightly from multiyear highs on Wednesday ahead of the release of data on global crude production.,https://blogs.wsj.com/moneybeat/2018/01/17/energy-journal-oil-loses-steam-ahead-of-production-reports-newsletter-draft/,-0.744609,
Deepwater Horizon Still Haunts BP—Energy Journal,WSJ Staff,2018-01-16T12:36:49Z,The Wall Street Journal,"A daily digest of The Wall Street Journal’s coverage of energy companies, commodity markets and the forces that shape them. Send us tips, suggestions and complaints: EnergyJournal@wsj.com Sign up for this newsletter: http://on.wsj.com/EnergyJournalSignup BP B…",https://blogs.wsj.com/moneybeat/2018/01/16/energy-journal-deepwater-horizon-still-haunts-bp/,0.0,
BP to Book $1.7 Billion Charge for Deepwater Horizon Claims,Sarah Kent,2018-01-16T08:29:49Z,The Wall Street Journal,BP’s fourth-quarter profits are under threat from multibillion-dollar charges related to the company’s fatal blowout in the Gulf of Mexico eight years ago and changes to the U.S. corporate tax rate.,https://www.wsj.com/articles/bp-to-book-1-7-billion-charge-for-deepwater-horizon-claims-1516091386,-0.876868,
"WSJ City: The Dollar’s Decline Has a Flipside, Airbus Takes Aim At Trump’s Trade Stance",Philip Georgiadis,2018-01-16T08:20:16Z,The Wall Street Journal,"Good morning from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY It isn’t a hap…",https://blogs.wsj.com/moneybeat/2018/01/16/wsj-city-the-dollars-decline-has-a-flipside-airbus-boss-takes-aim-at-trumps-trade-stance/,0.866072,
Shell Bids a Long Goodbye to Middle Eastern Oil,Sarah Kent,2018-01-15T22:45:30Z,The Wall Street Journal,"Royal Dutch Shell is giving up on its last oil fields in Iraq, leaving the world’s second-biggest oil company with a dwindling footprint in the Middle East—a region it helped build into a petroleum powerhouse.",https://www.wsj.com/articles/shell-bids-a-long-goodbye-to-middle-eastern-oil-1516051295,0.0,
T. Boone Pickens Calls It Quits on Energy Trading...,Alison Sider,2018-01-12T11:22:37Z,The Wall Street Journal,"The Oklahoma oilman and investment manager is closing the energy-focused hedge fund he has run for the last two decades after struggles with his health and returns, saying trading no longer intrigues him as it once did.",https://www.wsj.com/articles/t-boone-pickens-calls-it-quits-on-energy-trading-1515754980,-0.502046,
Oil Gains as Fate of Iran Nuclear Deal Remains Uncertain—Energy Journal,Neanda Salvaterra,2018-01-11T12:23:41Z,The Wall Street Journal,Analysts: Oil Could Hit $80,https://blogs.wsj.com/moneybeat/2018/01/11/energy-journal-oil-gains-as-fate-of-iran-nuclear-deal-remains-uncertain/,-0.51271,
Peter Sutherland Led Negotiations to Create the WTO,James R. Hagerty,2018-01-11T02:40:02Z,The Wall Street Journal,"Within six months, as director general of the General Agreement on Tariffs and Trade, Peter Sutherland had badgered and shamed 117 nations into accepting the market-opening accord that created the World Trade Organization, an engine for globalization that lat…",https://www.wsj.com/articles/peter-sutherland-led-negotiations-to-create-the-wto-1515625630,0.0,
New York City Sues Oil Companies in Climate Change Lawsuit,Corinne Ramey,2018-01-10T18:16:48Z,The Wall Street Journal,"New York City filed a lawsuit against five major oil companies, asking for billions of dollars to protect the city from climate change.",https://www.wsj.com/articles/city-sues-oil-companies-over-climate-change-1515607107,-0.660075,
